rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		3808							",https://boardgamegeek.com/boardgame/92644/schnappt-hubi,92644,2,4,20,20,20,2011,6.87308,5.69853,156,//cf.geekdo-images.com/images/pic1086779.jpg,5,Co-operative Play* Modular Board,285,Children's Game* Deduction* Electronic* Maze,1.3529
"		3810							",https://boardgamegeek.com/boardgame/7824/break-safe,7824,2,4,30,30,30,2003,6.05834,5.69843,597,//cf.geekdo-images.com/images/pic475435.jpg,8,Co-operative Play* Roll / Spin and Move,1198,Electronic* Spies/Secret Agents,1.4677
"		3811							",https://boardgamegeek.com/boardgame/67/conquest,67,2,4,120,120,120,1974,6.27456,5.69842,333,//cf.geekdo-images.com/images/pic940999.jpg,10,Action Point Allowance System* Point to Point Movement,693,Abstract Strategy* Ancient* Wargame,2.5161
"		3812							",https://boardgamegeek.com/boardgame/359/bucket-brigade,359,3,5,30,30,30,1998,6.05625,5.69839,536,//cf.geekdo-images.com/images/pic199026.jpg,7,Hand Management,672,Animals* Card Game* Children's Game,1.3
"		3813							",https://boardgamegeek.com/boardgame/11865/koi-koi,11865,2,4,30,15,30,0,6.82438,5.69837,169,//cf.geekdo-images.com/images/pic157509.jpg,0,Hand Management* Set Collection,189,Card Game,1.6667
"		3814							",https://boardgamegeek.com/boardgame/6767/attack-vector-tactical,6767,2,8,240,240,240,2004,7.24469,5.69836,157,//cf.geekdo-images.com/images/pic84398.jpg,12,Hex-and-Counter* Simulation,332,Fighting* Miniatures* Science Fiction,4.0667
"		3828							",https://boardgamegeek.com/boardgame/10682/atlas-zeus,10682,2,2,30,30,30,2004,6.35294,5.69831,289,//cf.geekdo-images.com/images/pic194079.jpg,10,Action / Movement Programming* Area Control / Area Influence* Hand Management* Simultaneous Action Selection,518,Mythology,2.0238
"		3815							",https://boardgamegeek.com/boardgame/7844/operation-typhoon,7844,2,2,1500,1500,1500,1978,7.33471,5.69827,121,//cf.geekdo-images.com/images/pic128081.jpg,12,Dice Rolling* Hex-and-Counter* Simulation,337,Wargame* World War II,3.6522
"		3818							",https://boardgamegeek.com/boardgame/12764/city-and-guilds,12764,3,5,90,90,90,2004,6.62512,5.69816,189,//cf.geekdo-images.com/images/pic56857.jpg,8,Area Control / Area Influence* Tile Placement,198,City Building* Medieval,2.6667
"		3819							",https://boardgamegeek.com/boardgame/36297/no-question-surrender,36297,2,2,0,0,0,2012,7.42778,5.69805,108,//cf.geekdo-images.com/images/pic329858.jpg,0,Chit-Pull System* Dice Rolling* Hex-and-Counter,505,Wargame* World War II,2.8824
"		3839							",https://boardgamegeek.com/boardgame/148083/dogs,148083,2,4,60,60,60,2013,7.54595,5.69805,111,//cf.geekdo-images.com/images/pic1784419.jpg,10,Point to Point Movement* Set Collection* Worker Placement,237,Animals,2.3333
"		3889							",https://boardgamegeek.com/boardgame/192343/bubblee-pop,192343,1,2,20,20,20,2016,7.23537,5.69803,123,//cf.geekdo-images.com/images/pic3117216.jpg,8,Pattern Building,180,none,1.3333
"		3820							",https://boardgamegeek.com/boardgame/8812/no-better-place-die,8812,2,2,360,360,360,1994,7.25855,5.69802,117,//cf.geekdo-images.com/images/pic433427.jpg,0,Hex-and-Counter* Simulation,505,American Civil War* Wargame,3.1905
"		3821							",https://boardgamegeek.com/boardgame/31575/eye-judgment,31575,1,2,30,30,30,2007,6.81889,5.69799,180,//cf.geekdo-images.com/images/pic251864.jpg,12,Area Control / Area Influence* Area Movement* Rock-Paper-Scissors,234,Card Game* Collectible Components* Fantasy,2.4737
"		3823							",https://boardgamegeek.com/boardgame/909/saturn,909,2,4,30,30,30,1997,6.75843,5.69794,172,//cf.geekdo-images.com/images/pic35004.jpg,8,none,152,Action / Dexterity,1.25
"		3824							",https://boardgamegeek.com/boardgame/1070/waldschattenspiel,1070,3,8,15,15,15,1985,6.25696,5.69788,355,//cf.geekdo-images.com/images/pic318383.jpg,6,Area Control / Area Influence* Co-operative Play* Partnerships* Simultaneous Action Selection,748,Children's Game* Fantasy* Party Game,1.1143
"		3825							",https://boardgamegeek.com/boardgame/8711/landships-tactical-weapons-innovations-1914-1918,8711,2,2,120,120,120,1994,6.77403,5.69771,181,//cf.geekdo-images.com/images/pic255348.jpg,12,Hex-and-Counter,556,Wargame* World War I,3.1739
"		3843							",https://boardgamegeek.com/boardgame/181122/wrath-dragons,181122,2,6,90,90,0,2015,7.24924,5.69754,131,//cf.geekdo-images.com/images/pic2597084.jpg,12,Hand Management* Simultaneous Action Selection* Worker Placement,254,Fantasy,2.8333
"		3879							",https://boardgamegeek.com/boardgame/191986/rhodes,191986,2,5,90,60,90,2016,6.90951,5.69747,163,//cf.geekdo-images.com/images/pic2923331.jpg,10,Action / Movement Programming* Pick-up and Deliver* Tile Placement* Variable Phase Order* Worker Placement,219,Ancient* City Building* Economic* Nautical* Transportation,2.6
"		3826							",https://boardgamegeek.com/boardgame/67361/rails-new-england,67361,2,5,180,180,180,2011,6.59603,5.69746,214,//cf.geekdo-images.com/images/pic822328.jpg,13,Card Drafting* Route/Network Building,403,Economic* Industry / Manufacturing* Trains,3.3333
"		3827							",https://boardgamegeek.com/boardgame/5394/kolin-fredericks-first-defeat-june-18-1757,5394,1,2,360,360,360,1994,7.79837,5.69745,92,//cf.geekdo-images.com/images/pic19144.jpg,12,Hex-and-Counter,329,Age of Reason* Wargame,3.8889
